job_name,learning_rate,epochs,batch_size,hidden_size,num_layers,bidirectional,avg_train_loss,avg_val_loss,avg_mask2_coverage,avg_mask2_accuracy
job_35,0.001,100,8,128,3,True,0.31059370020506805,0.30645685392347255,0.6814483696198941,0.7458942981585994
job_36,0.001,100,8,128,3,False,0.3713993839905532,0.2775672082196582,0.6872771049779829,0.7497642710090389
job_37,0.001,40,8,256,1,True,0.26572025816277456,0.26842603781683877,0.6992189813940147,0.7654217809519783
job_38,0.001,40,8,256,1,False,0.2945818323985888,0.32111525027589366,0.6969477519213769,0.7670545658137844
job_39,0.001,40,8,256,2,True,0.398261853236937,0.31620660356499924,0.6837564248372119,0.7527327748326353
job_40,0.001,40,8,256,2,False,0.34469446742420795,0.28761568110097535,0.692784372817384,0.7566431810830854
job_41,0.001,40,8,256,3,True,0.30801766620033677,0.2736464429308068,0.690099915408841,0.7599144290807635
job_42,0.001,40,8,256,3,False,0.39002805179182864,0.3046380032192577,0.6794485685381966,0.7473970319650008
job_43,0.001,80,8,256,1,True,0.24484910026091294,0.46833874969319866,0.6624161717931454,0.7400995347641748
job_44,0.001,80,8,256,1,False,0.3057323101507953,0.3578680820424448,0.6625539409948753,0.7309657661785427
job_45,0.001,80,8,256,2,True,0.29613882256489515,0.4041419927369464,0.6576661618197372,0.7298601981589823
job_46,0.001,80,8,256,2,False,0.31594011851920234,0.2980522331527688,0.6729994155316564,0.7390190822067442
job_47,0.001,80,8,256,3,True,0.3020060752003153,0.2805601057342508,0.6883779781924936,0.7544623067893947
job_48,0.001,80,8,256,3,False,0.31758476792947277,0.2685702267356894,0.6916791695272017,0.7516416202339065
job_49,0.001,100,8,256,1,True,0.27259104941673834,0.4063017802820964,0.6509185729854631,0.7091754945163357
job_50,0.001,100,8,256,1,False,0.38368154097048723,0.6841468693857844,0.5453910864719465,0.5879466110619181
job_51,0.001,100,8,256,2,True,0.31353621592466857,0.3314324014904824,0.672840881628547,0.7259243501746542
job_52,0.001,100,8,256,2,False,0.2553670573765519,0.30802169692787257,0.6947977935686411,0.7578929628172519
job_53,0.001,100,8,256,3,True,0.5858513020064638,0.3918974635953253,0.6122195493495617,0.6729841074785354
job_54,0.001,100,8,256,3,False,0.3275668926802544,0.3737249726598913,0.6723272974281547,0.7405261301274855
job_55,0.001,120,8,128,3,True,0.28092833017820246,0.25736923522569916,0.6998657321218684,0.7695225073688298
job_56,0.001,100,8,256,3,True,0.34490680121719713,0.3205830221487717,0.6551211205861647,0.7217207387877111
job_57,0.001,100,8,256,3,True,0.3005092640033587,0.3399325687099587,0.679806685475414,0.7435005682090592
job_58,0.001,100,8,256,4,True,0.3144295378859398,0.2645483154464851,0.6993940964726291,0.7727197686042613
